strain,1,2,3,4,5,6,7,8,9,10,11,12
A,GFC0180,GFC0181,GFC0182,GFC0183,GFC0184,GFC0185,GFC0186,GFC0187,GFC0188,GFC0189,GFC0190,GFC0191
B,GFC0180,GFC0181,GFC0182,GFC0183,GFC0184,GFC0185,GFC0186,GFC0187,GFC0188,GFC0189,GFC0190,GFC0191
C,GFC0180,GFC0181,GFC0182,GFC0183,GFC0184,GFC0185,GFC0186,GFC0187,GFC0188,GFC0189,GFC0190,GFC0191
D,GFC0180,GFC0181,GFC0182,GFC0183,GFC0184,GFC0185,GFC0186,GFC0187,GFC0188,GFC0189,GFC0190,GFC0191
E,GFC0192,GFC0193,GFC0194,GFC0195,GFC0196,GFC0197,GFC0198,GFC0199,GFC0200,GFC0221,GFC0222,blank
F,GFC0192,GFC0193,GFC0194,GFC0195,GFC0196,GFC0197,GFC0198,GFC0199,GFC0200,GFC0221,GFC0222,blank
G,GFC0192,GFC0193,GFC0194,GFC0195,GFC0196,GFC0197,GFC0198,GFC0199,GFC0200,GFC0221,GFC0222,blank
H,GFC0192,GFC0193,GFC0194,GFC0195,GFC0196,GFC0197,GFC0198,GFC0199,GFC0200,GFC0221,GFC0222,blank
,,,,,,,,,,,,
arabinose,1,2,3,4,5,6,7,8,9,10,11,12
A,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
B,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
C,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
D,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
E,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
F,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
G,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
H,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005,0.000005
,,,,,,,,,,,,
antisigma,1,2,3,4,5,6,7,8,9,10,11,12
A,AS14_t1,AS14_t2,AS17_t1,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2,AS17_t2,AS27_t1,AS27_t2,AS28_t1
B,AS14_t1,AS14_t2,AS17_t1,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2,AS17_t2,AS27_t1,AS27_t2,AS28_t1
C,AS14_t1,AS14_t2,AS17_t1,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2,AS17_t2,AS27_t1,AS27_t2,AS28_t1
D,AS14_t1,AS14_t2,AS17_t1,AS20_t1,AS20_t2,AS22_t,AS26_t1,AS26_t2,AS17_t2,AS27_t1,AS27_t2,AS28_t1
E,AS28_t2,AS31_t1,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t,AS31_t2,Ptet-lux,AS11_t1,AS11_t2,blank
F,AS28_t2,AS31_t1,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t,AS31_t2,Ptet-lux,AS11_t1,AS11_t2,blank
G,AS28_t2,AS31_t1,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t,AS31_t2,Ptet-lux,AS11_t1,AS11_t2,blank
H,AS28_t2,AS31_t1,AS34_t1,AS34_t2,AS37_t1,AS37_t2,AS38_t,AS31_t2,Ptet-lux,AS11_t1,AS11_t2,blank
,,,,,,,,,,,,
aTc,1,2,3,4,5,6,7,8,9,10,11,12
A,100,100,100,100,100,100,100,100,100,100,100,100
B,0,0,0,0,0,0,0,0,0,0,0,0
C,100,100,100,100,100,100,100,100,100,100,100,100
D,0,0,0,0,0,0,0,0,0,0,0,0
E,100,100,100,100,100,100,100,100,100,100,100,100
F,0,0,0,0,0,0,0,0,0,0,0,0
G,100,100,100,100,100,100,100,100,100,100,100,100
H,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
rep,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,1,1,1,1
C,2,2,2,2,2,2,2,2,2,2,2,2
D,2,2,2,2,2,2,2,2,2,2,2,2
E,1,1,1,1,1,1,1,1,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1
G,2,2,2,2,2,2,2,2,2,2,2,2
H,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,
copies,1,2,3,4,5,6,7,8,9,10,11,12
A,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
B,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
C,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
D,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc
E,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,none
F,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,none
G,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,none
H,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,mc,none
,,,,,,,,,,,,
tox,1,2,3,4,5,6,7,8,9,10,11,12
A,2.1,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.2,2.1
B,2.1,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.2,2.1
C,2.1,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.2,2.1
D,2.1,2.2,2.1,2.1,2.2,2.1,2.1,2.2,2.2,2.1,2.2,2.1
E,2.2,2.1,2.1,2.2,2.1,2.2,2.1,2.2,2.1,2.1,2.2,0
F,2.2,2.1,2.1,2.2,2.1,2.2,2.1,2.2,2.1,2.1,2.2,0
G,2.2,2.1,2.1,2.2,2.1,2.2,2.1,2.2,2.1,2.1,2.2,0
H,2.2,2.1,2.1,2.2,2.1,2.2,2.1,2.2,2.1,2.1,2.2,0